Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"CCCP (Casa Casa Casa Pound)","Simone Panetti","TOMBINO","Brani Preferiti Pubblici","Playlist","ITNIE2500032","5p7n2pa8BKsaHDUvC8ymGW"
"Nestiio","Taku Iwasaki","映画『文豪ストレイドッグス DEAD APPLE(デッドアップル)』オリジナルサウンドトラック","Brani Preferiti Pubblici","Playlist","JPI101800538","3caVoAGXOKbl1WRY8zAyf1"
"So Cold - Remix","Breaking Benjamin","We Are Not Alone","Brani Preferiti Pubblici","Playlist","USHR10421070","4BJyt25nburVwbnESDeIc7"
"軌跡","ラックライフ","軌跡","Brani Preferiti Pubblici","Playlist","JPI102301426","2LNotRHCiZowAajdcToX0W"
"Every Day Is Exactly The Same","Nine Inch Nails","With Teeth (Bonus Tracks)","Brani Preferiti Pubblici","Playlist","USIR10500485","11sSvwrDX5BBUhbBZRKUxy"
"Footsteps of Doom","KOHTA YAMAMOTO","TV Anime ""Attack on Titan The Final Season"" Original Sound Track Complete Album","Brani Preferiti Pubblici","Playlist","JPPC02211236","0jNnZa5RcN8iEOhw3XNFoW"
"Ashes on The Fire","KOHTA YAMAMOTO","TV Anime ""Attack on Titan The Final Season"" Original Sound Track Complete Album","Brani Preferiti Pubblici","Playlist","JPPC02100303","4D2LZlWR8XnK1AOi4wo7lp"
"Black Chainsaw Man Theme ""Chainsaw Man""","Pharozen","Black Chainsaw Man Theme ""Chainsaw Man""","Brani Preferiti Pubblici","Playlist","QZYD92403547","2V02ypKBMcHGeQFJOiVQkm"
"Il Demone Mi Ha Detto","Red Sky_Future Music","Musica dagli Abissi","Brani Preferiti Pubblici","Playlist","QM6MZ2387995","1Qqf92BjTKiKQVlLA02O5m"
"Danza Butoh","Red Sky_Future Music","Cronache Di Resistenza","Brani Preferiti Pubblici","Playlist","NOCWZ1800860","5qcdQxugjwSUXmEquhk68V"
"Abyss - from Kaiju No. 8","YUNGBLUD","Abyss (from Kaiju No. 8)","Brani Preferiti Pubblici","Playlist","USUG12400478","2kLWSmKHhfUBepkIA9oNe5"
"Rampage","Bernth","Elemental","Brani Preferiti Pubblici","Playlist","TCAIX2494463","1BDhphPRCk1YLeM6Uo1YOw"
"The Dark Angels (Warhammer 40k)","Rob Sigurd","The Dark Angels (Warhammer 40k)","Brani Preferiti Pubblici","Playlist","QZHN72521973","4S7aMnOfoDOpyL48WP4YuX"
"the fog","Nextime","twenty","Brani Preferiti Pubblici","Playlist","QZTB92415819","475rn4ZNohIvuIF3b9EHv1"
"POSER HOLOCAUST","Ozone Dehumanizer","TUTTA LA MORTE DI CUI HAI BISOGNO","Brani Preferiti Pubblici","Playlist","QZK6N2581703","2UZ4zR8UBegLKbJ0pSdrf3"
"CON IL PESO DEL BUIO SUL CAMMINO DELLA LUCE","Ozone Dehumanizer","TUTTA LA MORTE DI CUI HAI BISOGNO","Brani Preferiti Pubblici","Playlist","QZK6N2581701","1ssKaLmv61qqxQiyU76Rwn"
"RITUALE DEL RISVEGLIO","Ozone Dehumanizer","TUTTA LA MORTE DI CUI HAI BISOGNO","Brani Preferiti Pubblici","Playlist","QZK6N2581697","6b80empwEl7miqR8Ru1HYt"
"XENOGLOSSIA","Ozone Dehumanizer","TUTTA LA MORTE DI CUI HAI BISOGNO","Brani Preferiti Pubblici","Playlist","QZK6N2581700","5EnFSVuNKewlf8yMOgixUc"
"BAPHOMET RISING","Ozone Dehumanizer","TUTTA LA MORTE DI CUI HAI BISOGNO","Brani Preferiti Pubblici","Playlist","QZK6N2581706","0xRcRheY6HPG0yd7S3ZnSN"
"DEATH HARDCORE","Ozone Dehumanizer","TUTTA LA MORTE DI CUI HAI BISOGNO","Brani Preferiti Pubblici","Playlist","QZK6N2581698","0ZZm2o928F222cPJTZtiul"
"SECONDO COMUNICATO","P38","DITTATURA","Brani Preferiti Pubblici","Playlist","ITJ0M2500001","7huH1ed9v3pIfAisPQ0ME7"
"CAVALLETTE NEL CERVELLO","ALFMOB","TU NON SEI UNO DI NOI","Brani Preferiti Pubblici","Playlist","QZNWS2077987","2WwMARNNT7wiZbsmFGP3RS"
"TU NON SEI UNO DI NOI","ALFMOB","TU NON SEI UNO DI NOI","Brani Preferiti Pubblici","Playlist","QZNWV2001651","0dKWrR8RLuiRkY42MYmJog"
"FLOW DIPENDENTE STATALE","Glasond","FLOW DIPENDENTE STATALE","Brani Preferiti Pubblici","Playlist","QM4TX2587460","5qD5sb8TxajcNyzPpEI9Wx"
"The First Wave","Ready, Set, Fall!","Generation Curse","Brani Preferiti Pubblici","Playlist","TCAHQ2329321","0OZzJrUqSM0OJr9Axqy3rd"
"My Insanity","Ikoliks","My Insanity","Brani Preferiti Pubblici","Playlist","QZTB92370847","4UGo6z6gFBhs4pws2KukpC"
"Lilium - From ""Elfen Lied""","Gabriele Motta","Lilium (From ""Elfen Lied"")","Brani Preferiti Pubblici","Playlist","DGA0P2467152","3uPDDufuj1mP67PMCGS3tF"
"One Reason (Instrumental)","DWB","One Reason","Brani Preferiti Pubblici","Playlist","JPK271100020","5DJdKofzL6o07FfdoN9eBr"
"Mukanjyo","Survive Said The Prophet","Inside Your Head","Brani Preferiti Pubblici","Playlist","JPU901903330","0O9lL4MeH5jnbSzSGhX4Gs"
"Paradox - Anime Size","Survive Said The Prophet","Paradox","Brani Preferiti Pubblici","Playlist","JPU902301288","4P2LdkkUIf6uET3pvqKZam"
"Eternal Memory","BAXTY","Eternal Memory","Brani Preferiti Pubblici","Playlist","QZFZ22563542","2BIfHFJPvVfhtmwV2FyZAE"
"Torn Apart - From ""Bleach""","Gabriele Motta","Torn Apart (From ""Bleach"")","Brani Preferiti Pubblici","Playlist","DGA0S2498769","1ZrNwseUVVkTmFyJiJgZgd"
"Lift Me Up","Moby","Hotel","Brani Preferiti Pubblici","Playlist","GBAJH0403051","64hZX40A8Z14efLfF0JjwT"
"Partita No. 2 in C Minor, BWV 826: II. Allemande","Johann Sebastian Bach","Glenn Gould plays Bach: 6 Partitas BWV 825-830; Chromatic Fantasy BWV 903; Italian Concerto BWV 971; The Art of the Fugue BWV 1080 (excerpts); Preludes, Fugues & Fantasies","Brani Preferiti Pubblici","Playlist","USSM15900874","1Reqgq36fBSKj29UBMar6y"
"COME AMMAZZARE UNA RONDINE","Ozone Dehumanizer","COME AMMAZZARE UNA RONDINE","Brani Preferiti Pubblici","Playlist","QZTBE2393552","5DKC3iEv9Rt4tt2Yq7CMcS"
"Nightfall Theme","Killing Floor 3","Nightfall Theme","Brani Preferiti Pubblici","Playlist","QZTB92374033","0HkERXQEGg9n9bKUa2yemU"
"Black Rover","VK Blanka","wizard","Brani Preferiti Pubblici","Playlist","JPB601800791","0OGw7V8wAI6OsZIQ12JkTP"
"Black Catcher","VK Blanka","Devil","Brani Preferiti Pubblici","Playlist","JPB602000215","2y7f8qkrgIqY5KsfPNcuix"
"シルエット","KANA-BOON","TIME","Brani Preferiti Pubblici","Playlist","JPU901401691","1di1C0QI6Y92yZPYn6XYAZ"
"CHOKKAKU (Final Getsuga Tenshou Theme)","Abel III","CHOKKAKU (Final Getsuga Tenshou Theme)","Brani Preferiti Pubblici","Playlist","QZK6G2199826","3ZgGYiO6wwqmMz28v3zRBr"
"Mastered Ultra Instinct","Friedrich Habetler","Mastered Ultra Instinct","Brani Preferiti Pubblici","Playlist","QZGWW1958787","50D205fHWfypqMob4YtojA"
"Vegeta Super Saiyan (From ""Dragon Ball Z"") - Rock Version","Jimmy's Atelier","Vegeta Super Saiyan (From ""Dragon Ball Z"") [Rock Version]","Brani Preferiti Pubblici","Playlist","QZPJ32211234","0QJyUMxr6cXdBkIdQAy6co"
"Power to Resist","Friedrich Habetler","Power to Resist","Brani Preferiti Pubblici","Playlist","QZB4J1811955","2up6qLqjRHcbC72Nn4URuy"
"Gohans Anger Theme","Friedrich Habetler","Gohans Anger Theme","Brani Preferiti Pubblici","Playlist","QZARB1849231","0Ru3HtVXnMcDsQHPgVVT6D"
"The Masquerade","CANTERVICE","Zero Hour","Brani Preferiti Pubblici","Playlist","QM5LC2300292","3CmmcZ12AaIwvRNCbUeQf9"
"VOLDEMORT","Emilio Paranoico","VOLDEMORT","Brani Preferiti Pubblici","Playlist","QZHNB2431113","4kCxG7lkvBcniqGRpOWkwh"
"Abandon (feat. Daedric)","Andromida","Abandon (feat. Daedric)","Brani Preferiti Pubblici","Playlist","QM5LC2300175","2bCCrCJrdwI0GyVxt52JBT"
"Stranger","Fight The Fade","Isolationist","Brani Preferiti Pubblici","Playlist","QM5LC2300238","5pPtlyNycbx6WsM4U3T9RC"
"Awaken","Breaking Benjamin","Awaken","Brani Preferiti Pubblici","Playlist","QMRSZ2401584","7hr0WyhqQxrK3SQ9ZQxjTu"
"Be Yourself - Instrumental","Sinyells","The Animal Inside","Brani Preferiti Pubblici","Playlist","QZ22B2081199","2bi3sLyCoCdaRgZ6LR256j"
"RAM","MASTER BOOT RECORD","Hardwarez","Brani Preferiti Pubblici","Playlist","USMBR2416473","1czJVnNsY3fbELPic9hAGy"
"MOBO","MASTER BOOT RECORD","Hardwarez","Brani Preferiti Pubblici","Playlist","USMBR2416470","6zfaOw8UC6RSCDqXWRLA5h"
"Back from Hell","VISXGE","Back from Hell","Brani Preferiti Pubblici","Playlist","QZDA42249246","1kvZuVndWJDNoiRdjQ6H3i"
"Carnage","BLXCKBUSTA","THE Carnage Album","Brani Preferiti Pubblici","Playlist","QZK6G2016237","4ksxPS3RvLpg5aC8PJre6U"
"Up and Down","Tyreen","Up and Down","Brani Preferiti Pubblici","Playlist","QZES72408368","0cYZuZ4VSI45Zv1qw8A2iV"
"Human Theme - From ""Warcraft"", Metal Version","Gabriele Motta","Human Theme (From ""Warcraft"")","Brani Preferiti Pubblici","Playlist","DGA0H2421260","2FpbnUKUkN7oZoqXNNOfRA"
"The Emptiness Machine","Linkin Park","Heavy Is the Crown","Brani Preferiti Pubblici","Playlist","USWB12403464","0hVa4ysROPxUeN5yac5Fzk"
"HURT","Dead Poet Society","FISSION","Brani Preferiti Pubblici","Playlist","GBPVV2305352","0E0GPPvheTzleZgWckjef2"
"Furious Again","Downplay","The Human Condition","Brani Preferiti Pubblici","Playlist","TCABK1283587","7nS4kR8T2Fv6TOFH6W704z"
